,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
0,tensorflow,tensorflow,an open source machine learning framework for everyone,https://api.github.com/repos/tensorflow/tensorflow,C++,2015-11-07 01:19:20+00:00,2024-10-02 10:49:09+00:00,185786,74217,5076,Organization,3252,2015
1,transformers,huggingface,"🤗 transformers: state-of-the-art machine learning for pytorch, tensorflow, and jax.",https://api.github.com/repos/huggingface/transformers,Python,2018-10-29 13:56:00+00:00,2024-10-02 13:35:32+00:00,132856,26491,1459,Organization,2164,2018
2,ML-For-Beginners,microsoft,"12 weeks, 26 lessons, 52 quizzes, classic machine learning for all",https://api.github.com/repos/microsoft/ML-For-Beginners,HTML,2021-03-03 01:34:05+00:00,2024-10-02 13:32:53+00:00,69281,14324,5,Organization,1309,2021
3,funNLP,fighting41love,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、it词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、coconlp信息抽取工具、国内电话号码正则匹配、清华大学xlore:中英文跨语言百科知识图谱、清华大学人工智能技术系列报告、自然语言生成、nlu太难了系列、自动对联数据及机器人、用户名黑名单列表、罪名法务名词及分类模型、微信公众号语料、cs224n深度学习自然语言处理课程、中文手写汉字识别、中文自然语言处理 语料/数据集、变量命名神器、分词语料库+代码、任务型对话英文数据集、asr 语音数据集 + 基于深度学习的中文语音识别系统、笑声检测器、microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、spacy 中文模型、common voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(keyphrase)抽取包pke、基于医疗领域知识图谱的问答系统、基于依存句法与语义角色标注的事件三元组抽取、依存句法分析4万句高质量标注数据、cnocr：用来做中文ocr的python3包、中文人物关系知识图谱项目、中文nlp竞赛项目及代码汇总、中文字符数据、speech-aligner: 从“人声语音”及其“语言文本”产生音素级别时间对齐标注的工具、ampligraph: 知识图谱表示学习(python)库：知识图谱概念链接预测、scattertext 文本可视化(python)、语言/知识表示工具：bert & ernie、中文对比英文自然语言处理nlp的区别综述、synonyms中文近义词工具包、harvesttext领域自适应文本挖掘工具（新词发现-情感分析-实体链接等）、word2word：(python)方便易用的多语言词-词对集：62种语言/3,564个多语言对、语音识别语料生成工具：从具有音频/字幕的在线视频创建自动语音识别(asr)语料库、构建医疗实体识别的模型（包含词典和语料标注）、单文档非监督的关键词抽取、kashgari中使用gpt-2语言模型、开源的金融投资数据提取工具、文本自动摘要库textteaser: 仅支持英文、人民日报语料处理工具集、一些关于自然语言的基本模型、基于14w歌曲知识库的问答尝试--功能包括歌词接龙and已知歌词找歌曲以及歌曲歌手歌词三角关系的问答、基于siamese bilstm模型的相似句子判定模型并提供训练数据集和测试数据集、用transformer编解码模型实现的根据hacker news文章标题自动生成评论、用bert进行序列标记和文本分类的模板代码、litbank：nlp数据集——支持自然语言处理和计算人文学科任务的100部带标记英文小说语料、百度开源的基准信息抽取系统、虚假新闻数据集、facebook: lama语言模型分析，提供transformer-xl/bert/elmo/gpt预训练语言模型的统一访问接口、commonsenseqa：面向常识的英文qa挑战、中文知识图谱资料、数据及工具、各大公司内部里大牛分享的技术文档 pdf 或者 ppt、自然语言生成sql语句（英文）、中文nlp数据增强（eda）工具、英文nlp数据增强工具 、基于医药知识图谱的智能问答系统、京东商品知识图谱、基于mongodb存储的军事领域知识图谱问答项目、基于远监督的中文关系抽取、语音情感分析、中文ulmfit-情感分析-文本分类-语料及模型、一个拍照做题程序、世界各国大规模人名库、一个利用有趣中文语料库 qingyun 训练出来的中文聊天机器人、中文聊天机器人seqgan、省市区镇行政区划数据带拼音标注、教育行业新闻语料库包含自动文摘功能、开放了对话机器人-知识图谱-语义理解-自然语言处理工具及数据、中文知识图谱：基于百度百科中文页面-抽取三元组信息-构建中文知识图谱、masr: 中文语音识别-提供预训练模型-高识别率、python音频数据增广库、中文全词覆盖bert及两份阅读理解数据、convlab：开源多域端到端对话系统平台、中文自然语言处理数据集、基于最新版本rasa搭建的对话系统、基于tensorflow和bert的管道式实体及关系抽取、一个小型的证券知识图谱/知识库、复盘所有nlp比赛的top方案、openclap：多领域开源中文预训练语言模型仓库、uer：基于不同语料+编码器+目标任务的中文预训练模型仓库、中文自然语言处理向量合集、基于金融-司法领域(兼有闲聊性质)的聊天机器人、g2pc：基于上下文的汉语读音自动标记模块、zincbase 知识图谱构建工具包、诗歌质量评价/细粒度情感诗歌语料库、快速转化「中文数字」和「阿拉伯数字」、百度知道问答语料库、基于知识图谱的问答系统、jieba_fast 加速版的jieba、正则表达式教程、中文阅读理解数据集、基于bert等最新语言模型的抽取式摘要提取、python利用深度学习进行文本摘要的综合指南、知识图谱深度学习相关资料整理、维基大规模平行文本语料、stanfordnlp 0.2.0：纯python版自然语言处理包、neuralnlp-neuralclassifier：腾讯开源深度学习文本分类工具、端到端的封闭域对话系统、中文命名实体识别：neuroner vs. bertner、新闻事件线索抽取、2019年百度的三元组抽取比赛：“科学空间队”源码、基于依存句法的开放域文本知识三元组抽取和知识库构建、中文的gpt2训练代码、ml-nlp - 机器学习(machine learning)nlp面试中常考到的知识点和代码实现、nlp4han:中文自然语言处理工具集(断句/分词/词性标注/组块/句法分析/语义分析/ner/n元语法/hmm/代词消解/情感分析/拼写检查、xlm：facebook的跨语言预训练语言模型、用基于bert的微调和特征提取方法来进行知识图谱百度百科人物词条属性抽取、中文自然语言处理相关的开放任务-数据集-当前最佳结果、coupletai - 基于cnn+bi-lstm+attention 的自动对对联系统、抽象知识图谱、miningzhidaoqacorpus - 580万百度知道问答数据挖掘项目、brat rapid annotation tool: 序列标注工具、大规模中文知识图谱数据：1.4亿实体、数据增强在机器翻译及其他nlp任务中的应用及效果、allennlp阅读理解:支持多种数据和模型、pdf表格数据提取工具 、 graphbrain：ai开源软件库和科研工具，目的是促进自动意义提取和文本理解以及知识的探索和推断、简历自动筛选系统、基于命名实体识别的简历自动摘要、中文语言理解测评基准，包括代表性的数据集&基准模型&语料库&排行榜、树洞 ocr 文字识别 、从包含表格的扫描图片中识别表格和文字、语声迁移、python口语自然语言处理工具集(英文)、 similarity：相似度计算工具包，java编写、海量中文预训练albert模型 、transformers 2.0 、基于大规模音频数据集audioset的音频增强 、poplar：网页版自然语言标注工具、图片文字去除，可用于漫画翻译 、186种语言的数字叫法库、amazon发布基于知识的人-人开放领域对话数据集 、中文文本纠错模块代码、繁简体转换 、 python实现的多种文本可读性评价指标、类似于人名/地名/组织机构名的命名体识别数据集 、东南大学《知识图谱》研究生课程(资料)、. 英文拼写检查库 、 wwsearch是企业微信后台自研的全文检索引擎、chameleon：深度学习新闻推荐系统元架构 、 8篇论文梳理bert相关模型进展与反思、docsearch：免费文档搜索引擎、 lida：轻量交互式对话标注工具 、aili - the fastest in-memory index in the east 东半球最快并发索引 、知识图谱车音工作项目、自然语言生成资源大全 、中日韩分词库mecab的python接口库、中文文本摘要/关键词提取、汉字字符特征提取器 (featurizer)，提取汉字的特征（发音特征、字形特征）用做深度学习的特征、中文生成任务基准测评 、中文缩写数据集、中文任务基准测评 - 代表性的数据集-基准(预训练)模型-语料库-baseline-工具包-排行榜、pyss3：面向可解释ai的ss3文本分类器机器可视化工具 、中文nlp数据集列表、cope - 格律诗编辑程序、doccano：基于网页的开源协同多语言文本标注工具 、prenlp：自然语言预处理库、简单的简历解析器，用来从简历中提取关键信息、用于中文闲聊的gpt2模型：gpt2-chitchat、基于检索聊天机器人多轮响应选择相关资源列表(leaderboards、datasets、papers)、(colab)抽象文本摘要实现集锦(教程 、词语拼音数据、高效模糊搜索工具、nlp数据增广资源集、微软对话机器人框架 、 github typo corpus：大规模github多语言拼写错误/语法错误数据集、textcluster：短文本聚类预处理模块 short text cluster、面向语音识别的中文文本规范化、blink：最先进的实体链接库、bertpunc：基于bert的最先进标点修复模型、tokenizer：快速、可定制的文本词条化库、中文语言理解测评基准，包括代表性的数据集、基准(预训练)模型、语料库、排行榜、spacy 医学文本挖掘与信息提取 、 nlp任务示例项目代码集、 python拼写检查库、chatbot-list - 行业内关于智能客服、聊天机器人的应用和架构、算法分享和介绍、语音质量评价指标(mosnet, bsseval, stoi, pesq, srmr)、 用138gb语料训练的法文roberta预训练语言模型 、bert-ner-pytorch：三种不同模式的bert中文ner实验、无道词典 - 有道词典的命令行版本，支持英汉互查和在线查询、2019年nlp亮点回顾、 chinese medical dialogue data 中文医疗对话数据集 、最好的汉字数字(中文数字)-阿拉伯数字转换工具、 基于百科知识库的中文词语多词义/义项获取与特定句子词语语义消歧、awesome-nlp-sentiment-analysis - 情感分析、情绪原因识别、评价对象和评价词抽取、lineflow：面向所有深度学习框架的nlp数据高效加载器、中文医学nlp公开资源整理 、medquad：(英文)医学问答数据集、将自然语言数字串解析转换为整数和浮点数、transfer learning in natural language processing (nlp) 、面向语音识别的中文/英文发音辞典、tokenizers：注重性能与多功能性的最先进分词器、cluener 细粒度命名实体识别 fine grained named entity recognition、 基于bert的中文命名实体识别、中文谣言数据库、nlp数据集/基准任务大列表、nlp相关的一些论文及代码, 包括主题模型、词向量(word embedding)、命名实体识别(ner)、文本分类(text classificatin)、文本生成(text generation)、文本相似性(text similarity)计算等，涉及到各种与nlp相关的算法，基于keras和tensorflow 、python文本挖掘/nlp实战示例、 blackstone：面向非结构化法律文本的spacy pipeline和nlp模型通过同义词替换实现文本“变脸” 、中文 预训练 electrea 模型: 基于对抗学习 pretrain chinese model 、albert-chinese-ner - 用预训练语言模型albert做中文ner 、基于gpt2的特定主题文本生成/文本增广、开源预训练语言模型合集、多语言句向量包、编码、标记和实现：一种可控高效的文本生成方法、 英文脏话大列表 、attnvis：gpt2、bert等transformer语言模型注意力交互可视化、covost：facebook发布的多语种语音-文本翻译语料库，包括11种语言(法语、德语、荷兰语、俄语、西班牙语、意大利语、土耳其语、波斯语、瑞典语、蒙古语和中文)的语音、文字转录及英文译文、jiagu自然语言处理工具 - 以bilstm等模型为基础，提供知识图谱关系抽取 中文分词 词性标注 命名实体识别 情感分析 新词发现 关键词 文本摘要 文本聚类等功能、用unet实现对文档表格的自动检测，表格重建、nlp事件提取文献资源列表 、 金融领域自然语言处理研究资源大列表、cluedatasetsearch - 中英文nlp数据集：搜索所有中文nlp数据集，附常用英文nlp数据集 、medical_ner - 中文医学知识图谱命名实体识别 、(哈佛)讲因果推理的免费书、知识图谱相关学习资料/数据集/工具资源大列表、forte：灵活强大的自然语言处理pipeline工具集 、python字符串相似性算法库、pylaia：面向手写文档分析的深度学习工具包、textfooler：针对文本分类/推理的对抗文本生成模块、haystack：灵活、强大的可扩展问答(qa)框架、中文关键短语抽取工具",https://api.github.com/repos/fighting41love/funNLP,Python,2018-08-21 11:20:39+00:00,2024-10-02 12:47:19+00:00,68035,14431,28,User,2234,2018
4,awesome-machine-learning,josephmisiti,"a curated list of awesome machine learning frameworks, libraries and software.",https://api.github.com/repos/josephmisiti/awesome-machine-learning,Python,2014-07-15 19:11:19+00:00,2024-10-02 11:04:55+00:00,65551,14593,5,User,3731,2014
5,scikit-learn,scikit-learn,scikit-learn: machine learning in python,https://api.github.com/repos/scikit-learn/scikit-learn,Python,2010-08-17 09:43:38+00:00,2024-10-02 12:11:34+00:00,59621,25306,2122,Organization,5160,2010
6,gradio,gradio-app,"build and share delightful machine learning apps, all in python. 🌟 star to support our work!",https://api.github.com/repos/gradio-app/gradio,Python,2018-12-19 08:24:04+00:00,2024-10-02 13:26:51+00:00,32477,2432,556,Organization,2114,2018
7,C-Plus-Plus,thealgorithms,"collection of various algorithms in mathematics, machine learning, computer science and physics implemented in c++ for educational purposes.",https://api.github.com/repos/TheAlgorithms/C-Plus-Plus,C++,2016-07-16 10:19:45+00:00,2024-10-02 13:05:36+00:00,30189,7128,26,Organization,3000,2016
8,linkedin-skill-assessments-quizzes,ebazhanov,"full reference of linkedin answers 2024 for skill assessments (aws-lambda, rest-api, javascript, react, git, html, jquery, mongodb, java, go, python, machine-learning, power-point) linkedin excel test lösungen, linkedin machine learning test linkedin test questions and answers",https://api.github.com/repos/Ebazhanov/linkedin-skill-assessments-quizzes,Python,2019-07-13 19:52:56+00:00,2024-10-02 13:15:10+00:00,28409,13363,88,User,1907,2019
9,machine-learning-for-software-engineers,zuzoovn,a complete daily plan for studying to become a machine learning engineer.,https://api.github.com/repos/ZuzooVn/machine-learning-for-software-engineers,Python,2016-10-09 21:20:25+00:00,2024-10-01 22:45:34+00:00,28083,6196,26,User,2914,2016
10,handson-ml2,ageron,"a series of jupyter notebooks that walk you through the fundamentals of machine learning and deep learning in python using scikit-learn, keras and tensorflow 2.",https://api.github.com/repos/ageron/handson-ml2,Jupyter Notebook,2019-01-08 03:49:07+00:00,2024-10-02 11:22:38+00:00,27803,12738,220,User,2094,2019
